State,Year,ASC1_Measure_State_Rate,ASC2_Measure_State_Rate,ASC3_Measure_State_Rate,ASC4_Measure_State_Rate,ASC5_Measure_State_Rate,ASC_6_State_PCT,Avg_ASC_7_State,Avg_Gastrointestinal_State,Avg_Eye_State,Avg_Genitourinary_State,Avg_Multi_System_State,Avg_Musculoskeletal_State,Avg_Nervous_System_State,Avg_Respiratory_State,Avg_Skin_State,Avg_ASC_8_State_Rate,Avg_ASC_9_State_Rate,Avg_ASC_10_State_Rate,Avg_ASC_11_State_Rate,Median_ASC_7_State,Median_Gastrointestinal_State,Median_Eye_State,Median_Genitourinary_State,Median_Multi_System_State,Median_Musculoskeletal_State,Median_Nervous_System_State,Median_Respiratory_State,Median_Skin_State,Median_ASC_8_State_Rate,Median_ASC_9_State_Rate,Median_ASC_10_State_Rate,Median_ASC_11_State_Rate
AK,2015,0.258,0.387,0.129,1.42,978.09,100,2361,1921,632,103,2,611,1207,233,43,67.58,90.87,86.42,100,2423,1104,486,66,2,442,540,234,34,70.52,93.05,87.98,100
AL,2015,0.022,0.146,0.022,0.472,986.38,100,8020,4292,2245,79,44,1344,3027,350,162,67.93,67.88,75.67,93.33,6977,3048,1396,87,45,951,2006,221,56,69.94,72.34,89.63,93.33
AR,2015,0.108,0.585,0,0.277,890.92,100,3461,3856,1476,151,1104,724,1439,76,157,77.37,63.71,76.75,100,2667,3193,998,7,157,640,301,55,35,83.5,77.78,91.1,100
AZ,2015,0.148,0.096,0.066,0.428,968.12,98.44,4289,4106,1923,181,32,715,3135,462,213,64.38,86.08,80.05,100,3437,2758,1224,116,14,536,670,130,42,67.57,90.68,93.82,100
CA,2015,0.183,0.079,0.011,0.247,961.11,100,3560,2863,1184,165,324,688,1544,183,113,75.68,74.98,73.58,94.07,2646,1847,822,51,31,413,840,84,25,82.55,84.93,83.63,100
CO,2015,0.075,0.075,0.021,0.428,871.13,100,4242,2819,1468,336,144,867,1921,262,76,95.12,91.33,80.98,N/A (5),3664,1597,503,50,13,569,1425,162,14,96.33,97.06,93.23,N/A (5)
CT,2015,0.123,0.123,0,0.614,987.38,100,5050,4846,2569,251,1649,1460,1522,402,36,83.41,86.86,78.16,N/A (5),4394,4735,1863,204,1649,1159,1751,442,12,85.57,98.31,94.56,N/A (5)
DC,2015,0,0.722,0,0,916.67,100,2789,2045,204,70,0,109,834,0,5,85.58,72.98,94.27,N/A (5),3373,1568,204,70,0,109,834,0,5,85.58,96.88,100,N/A (5)
DE,2015,0.22,0.138,0.083,0.55,972.12,100,4430,3106,1575,495,153,814,2244,136,228,72.89,79.23,89.36,N/A (5),3313,1987,1592,513,123,676,1725,91,75,79.13,93.13,91.67,N/A (5)
FL,2015,0.176,0.092,0.055,0.395,964.47,100,5054,4150,1860,400,215,829,1818,156,145,58.89,78.96,83.09,99.06,3732,3020,1004,108,33,459,929,88,68,60.67,89.29,91.89,100
GA,2015,0.221,0.084,0.005,0.321,980.24,99.58,3130,3766,1870,1127,222,999,2150,267,258,76.74,79.35,71.04,100,2294,2753,1566,649,76,589,1205,177,43,83.21,88.27,79.37,100
GU,2015,3.636,0,0,1.212,909.09,100,1910,564,1049,31,0,201,10,18,37,9.23,1.59,66.67,N/A (5),1910,564,1049,31,0,201,10,18,37,9.23,1.59,66.67,N/A (5)
HI,2015,0,0,0,0.11,974.14,100,3517,3507,1606,2,5,470,1044,11,40,70.58,79.92,80.36,N/A (5),3608,3096,1205,2,5,347,173,12,40,68.52,83.33,100,N/A (5)
IA,2015,0.059,0.06,0.03,0.687,994.97,100,5132,3220,1519,434,293,1150,1001,271,98,87.29,93.16,94.72,N/A (5),4511,2457,1322,375,21,981,1000,206,74,90.48,97.78,100,N/A (5)
ID,2015,0.179,0.144,0,0.538,994.78,100,3006,2426,1603,412,94,648,1114,152,65,73.16,83.07,76.86,94.25,2250,570,958,11,94,544,307,137,27,68.89,91.64,87.04,96.55
IL,2015,0.2,0.104,0.048,0.287,986.18,100,4330,2733,1476,248,624,798,1337,157,106,77.6,85.33,82.45,93.5,3081,731,1325,51,29,602,431,86,34,80.2,94.12,94.05,90.51
IN,2015,0.101,0.101,0.031,0.546,977.2,100,3620,2368,1858,318,257,750,1822,241,104,82.28,81.65,84.24,100,2860,980,1121,149,48,461,803,145,37,91.36,90.91,94.79,100
KS,2015,0.079,0.079,0.016,0.54,993.48,100,3415,2499,1441,252,1088,674,852,253,239,86.41,90.95,80.12,100,2681,1635,887,34,27,368,538,124,63,90.49,97.24,90.45,100
KY,2015,0.102,0.061,0,0.225,991.24,100,6553,4459,2132,1429,254,461,2241,204,187,74.95,84.23,90.11,100,5811,3938,2268,499,59,112,495,58,67,77.87,96.85,99.53,100
LA,2015,0.111,0.111,0.025,0.493,981.18,98.65,4545,3689,1756,484,181,508,2750,179,70,67.75,79.92,77.53,99.38,3383,2441,812,76,26,419,1106,89,14,69.77,90.91,87.1,100
MA,2015,0.133,0.093,0.013,0.307,976.52,100,4319,5105,3053,369,4,679,1317,183,89,82.57,91.7,89.57,N/A (5),4242,4883,2607,202,4,293,1462,183,43,87.23,97.45,99.24,N/A (5)
MD,2015,0.243,0.086,0.011,0.42,977.3,100,2949,3784,1296,1384,271,820,1770,161,232,82.17,82.02,84.12,98.67,2045,2710,805,588,22,677,1239,79,26,89.27,100,94.79,100
ME,2015,0.418,0.14,0,0.07,939.71,100,2316,3971,1890,40,0,902,419,9,61,65.97,93.08,38.69,N/A (5),2166,1155,2575,40,0,1155,421,2,47,63.64,95.98,38.69,N/A (5)
MI,2015,0.053,0.062,0,0.493,988.3,100,5248,4356,2088,430,1202,1012,1535,225,238,75.84,83.46,73.67,100,4358,2704,1787,104,137,640,585,107,56,81.67,95.24,82.54,100
MN,2015,0.031,0.094,0.031,0.755,987.68,100,4458,3488,1376,105,377,1145,1765,145,74,81.55,94.3,94.22,96.13,2865,741,959,42,39,284,490,54,14,81.82,96.88,98.41,95.36
MO,2015,0.11,0.033,0.033,0.373,992.77,100,3244,2551,1623,251,115,783,881,150,162,75.63,91.73,85.35,N/A (5),2436,1391,1120,67,22,388,433,44,21,78.79,96.06,92.31,N/A (5)
MS,2015,0.149,0.149,0.03,0.298,987.59,100,4552,3977,1396,778,1042,753,3138,247,434,71.9,78.78,79.05,100,3551,2772,715,156,106,369,1874,78,52,81.82,87.44,99.17,100
MT,2015,0,0.14,0,0.768,996.17,100,2936,758,964,70,6,882,1469,246,29,77.08,97.82,92.8,73.42,2297,494,909,3,6,601,593,54,19,80.77,97.94,99.49,73.42
NC,2015,0.176,0.104,0.032,0.673,737.55,100,4722,4019,2192,140,39,1319,990,340,98,86.24,87.37,84.13,96.89,3958,3205,1799,58,17,1227,589,213,26,88.4,95.32,91.53,96.89
ND,2015,0.698,0.14,0,0.28,992.03,100,2661,1365,1004,872,0,535,629,200,99,83.87,83.72,90.41,N/A (5),2088,394,563,872,0,190,137,23,26,90,80.94,94.67,N/A (5)
NE,2015,0.025,0.049,0,0.395,992.58,100,3047,2469,1002,1260,60,736,859,128,20,84.53,85.12,79.67,100,2375,1068,553,182,53,326,924,53,17,88.89,96.67,88.41,100
NH,2015,0.3,0,0,0.35,985.63,100,2707,2196,1109,244,83,936,699,87,45,85.61,90.67,94.96,100,2325,1084,656,191,83,613,475,95,23,84.38,92.71,100,100
NJ,2015,0.125,0.094,0.022,0.435,980.62,100,4012,3356,1587,545,180,557,1658,184,90,70.11,73.45,77.6,97.82,3355,2370,876,313,50,314,1163,51,18,73.5,82.99,89.58,99.49
NM,2015,0,0,0,0.187,993.33,93.33,5232,4645,2810,79,92,1293,3597,160,40,71.26,83.53,90.86,N/A (5),3819,3216,1389,79,92,635,1868,160,27,73.92,97.92,94.74,N/A (5)
NV,2015,3.545,0.037,0.019,1.248,932.34,100,4685,3452,1699,88,8,1071,3278,296,72,68.65,81.78,79.06,100,4138,3286,1140,3,9,461,2539,133,48,76.88,90.54,87.5,100
NY,2015,0.159,0.038,0.008,0.265,961.45,100,6908,6540,3217,312,876,1375,2806,196,174,84.94,68.25,65.72,100,5599,5980,1792,44,271,709,918,185,44,90.65,81.82,76.67,100
OH,2015,0.18,0.094,0.029,0.338,911.88,100,4119,3670,1935,1085,152,961,1971,243,140,70.45,80.82,77.52,97.78,3259,2757,1436,218,36,381,756,77,46,77.5,88.1,89.72,100
OK,2015,0.15,0.15,0,0.395,978.82,100,4108,3519,2352,1150,8,731,1770,75,185,83.87,83.1,83.38,85.71,3320,1819,1374,394,7,324,860,94,39,87.32,85.25,90.48,85.71
OR,2015,0.057,0.095,0.019,0.454,977.27,100,3614,3380,1381,960,170,698,1128,72,54,70.14,83.34,77.95,98.95,2804,1085,1198,85,12,377,427,63,13,71.88,96.27,92.31,98.95
PA,2015,0.197,0.061,0.015,0.454,921.35,99.5,4150,3653,1809,449,200,822,1755,155,324,78.16,81.68,79.5,95.31,3616,2938,1336,100,26,323,1077,56,66,83.07,91.67,90.61,95.92
PR,2015,0.272,0.272,0,0,965.42,100,4492,1974,3993,260,263,627,251,71,189,61.61,3.81,13.83,100,5381,131,5381,94,263,897,251,71,64,63.48,3.81,13.83,100
RI,2015,0,0,0,0,997.83,100,5210,5980,2510,234,0,1686,465,230,87,96.5,88.83,95.3,N/A (5),3966,5291,792,234,0,1686,465,26,87,95.83,99.85,98.24,N/A (5)
SC,2015,0.045,0.063,0.009,0.509,986.19,100,4797,3920,2268,831,34,630,1988,265,224,85.9,81.08,74.97,N/A (5),3820,3437,1951,150,22,414,469,101,16,90.57,90.24,96.15,N/A (5)
SD,2015,0.069,0.069,0,0.069,994.32,100,2366,2255,2351,2134,8,446,553,0,119,89.42,93.74,85.01,N/A (5),1923,1143,2245,3024,8,89,553,0,63,95.83,92.31,93.75,N/A (5)
TN,2015,0.043,0.058,0.007,0.289,975.21,100,4407,3307,1730,632,73,1061,2315,218,97,78.62,85.39,82.82,100,3929,2425,1161,9,33,606,1484,134,28,81.29,95.38,97.43,100
TX,2015,0.096,0.081,0.006,0.37,915.72,99.65,4767,3861,1933,241,76,621,1668,199,117,78.74,78.12,80.46,98.54,3744,1948,1465,55,35,367,909,81,26,86.88,90.83,91.62,99.98
UT,2015,0.18,0.072,0,0.288,984.75,100,3272,2602,1202,178,31,653,371,224,92,84.36,92.11,87.11,N/A (5),2594,1707,1156,168,27,508,225,152,27,92.6,95.24,89.38,N/A (5)
VA,2015,0.052,0.091,0.026,0.506,992.54,97.92,4088,1534,2097,469,163,1182,917,405,206,76.33,74.13,78.83,N/A (5),3336,683,1465,195,21,968,543,85,82,84.38,80.37,95.17,N/A (5)
VI,2015,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),100,381,0,381,0,0,0,0,0,0,N/A (5),N/A (5),N/A (5),N/A (5),381,0,381,0,0,0,0,0,0,N/A (5),N/A (5),N/A (5),N/A (5)
VT,2015,0,0,0,0.548,N/A (5),100,2668,0,2668,0,0,0,0,0,0,76.67,N/A (5),N/A (5),N/A (5),2668,0,2668,0,0,0,0,0,0,76.67,N/A (5),N/A (5),N/A (5)
WA,2015,0.211,0.114,0.049,0.455,984.69,100,3208,3713,1713,248,43,1048,1406,225,234,78.37,88.86,89.11,97.14,2276,2337,1253,163,13,767,735,165,19,82.51,95.93,95.01,100
WI,2015,0.105,0.158,0,0.737,974.21,100,4083,3889,1970,228,49,700,1956,189,54,85.95,90.29,89.89,N/A (5),3043,2383,904,104,29,318,1468,163,10,88.85,98.14,97.65,N/A (5)
WV,2015,0,0.224,0,0.224,985.92,100,3918,2324,1169,196,0,343,3618,66,133,61.43,90.97,79.63,N/A (5),2758,453,1122,196,0,126,1843,66,108,66.67,93.8,84.26,N/A (5)
WY,2015,0.169,0.253,0,0.845,984.13,100,1796,1295,543,61,24,402,934,149,76,88.01,71.04,81.15,88.45,1295,750,428,52,24,154,399,169,6,92.86,95.33,98.33,91.13
