State,Measure ID,Measure Name,Score,Footnote,Measure Start Date,Measure End Date
MP,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2015
MP,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,0.0,,07/01/2014,06/30/2015
MP,OP_8,MRI Lumbar Spine for Low Back Pain,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2015
MP,OP_9,Mammography Follow-up Rates,7.0,,07/01/2014,06/30/2015
MS,OP_10,Abdomen CT Use of Contrast Material,10.6,,07/01/2014,06/30/2015
MS,OP_11,Thorax CT Use of Contrast Material,4.2,,07/01/2014,06/30/2015
MS,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.2,,07/01/2014,06/30/2015
MS,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.4,,07/01/2014,06/30/2015
MS,OP_8,MRI Lumbar Spine for Low Back Pain,42.4,,07/01/2014,06/30/2015
MS,OP_9,Mammography Follow-up Rates,8.2,,07/01/2014,06/30/2015
MT,OP_10,Abdomen CT Use of Contrast Material,9.0,,07/01/2014,06/30/2015
MT,OP_11,Thorax CT Use of Contrast Material,1.8,,07/01/2014,06/30/2015
MT,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.5,,07/01/2014,06/30/2015
MT,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.0,,07/01/2014,06/30/2015
MT,OP_8,MRI Lumbar Spine for Low Back Pain,45.9,,07/01/2014,06/30/2015
MT,OP_9,Mammography Follow-up Rates,7.6,,07/01/2014,06/30/2015
NC,OP_10,Abdomen CT Use of Contrast Material,5.1,,07/01/2014,06/30/2015
NC,OP_11,Thorax CT Use of Contrast Material,1.3,,07/01/2014,06/30/2015
NC,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.3,,07/01/2014,06/30/2015
NC,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.7,,07/01/2014,06/30/2015
NC,OP_8,MRI Lumbar Spine for Low Back Pain,37.6,,07/01/2014,06/30/2015
NC,OP_9,Mammography Follow-up Rates,7.7,,07/01/2014,06/30/2015
ND,OP_10,Abdomen CT Use of Contrast Material,8.7,,07/01/2014,06/30/2015
ND,OP_11,Thorax CT Use of Contrast Material,1.4,,07/01/2014,06/30/2015
ND,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.3,,07/01/2014,06/30/2015
ND,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.3,,07/01/2014,06/30/2015
ND,OP_8,MRI Lumbar Spine for Low Back Pain,36.8,,07/01/2014,06/30/2015
ND,OP_9,Mammography Follow-up Rates,7.5,,07/01/2014,06/30/2015
NE,OP_10,Abdomen CT Use of Contrast Material,6.4,,07/01/2014,06/30/2015
NE,OP_11,Thorax CT Use of Contrast Material,1.7,,07/01/2014,06/30/2015
NE,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.9,,07/01/2014,06/30/2015
NE,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.6,,07/01/2014,06/30/2015
NE,OP_8,MRI Lumbar Spine for Low Back Pain,35.7,,07/01/2014,06/30/2015
NE,OP_9,Mammography Follow-up Rates,8.3,,07/01/2014,06/30/2015
NH,OP_10,Abdomen CT Use of Contrast Material,4.8,,07/01/2014,06/30/2015
NH,OP_11,Thorax CT Use of Contrast Material,0.4,,07/01/2014,06/30/2015
NH,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.5,,07/01/2014,06/30/2015
NH,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.1,,07/01/2014,06/30/2015
NH,OP_8,MRI Lumbar Spine for Low Back Pain,35.6,,07/01/2014,06/30/2015
NH,OP_9,Mammography Follow-up Rates,8.6,,07/01/2014,06/30/2015
NJ,OP_10,Abdomen CT Use of Contrast Material,5.8,,07/01/2014,06/30/2015
NJ,OP_11,Thorax CT Use of Contrast Material,1.8,,07/01/2014,06/30/2015
NJ,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.3,,07/01/2014,06/30/2015
NJ,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.1,,07/01/2014,06/30/2015
NJ,OP_8,MRI Lumbar Spine for Low Back Pain,34.8,,07/01/2014,06/30/2015
NJ,OP_9,Mammography Follow-up Rates,14.5,,07/01/2014,06/30/2015
NM,OP_10,Abdomen CT Use of Contrast Material,9.8,,07/01/2014,06/30/2015
NM,OP_11,Thorax CT Use of Contrast Material,4.9,,07/01/2014,06/30/2015
NM,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.6,,07/01/2014,06/30/2015
NM,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.9,,07/01/2014,06/30/2015
NM,OP_8,MRI Lumbar Spine for Low Back Pain,40.6,,07/01/2014,06/30/2015
NM,OP_9,Mammography Follow-up Rates,9.2,,07/01/2014,06/30/2015
NV,OP_10,Abdomen CT Use of Contrast Material,4.4,,07/01/2014,06/30/2015
NV,OP_11,Thorax CT Use of Contrast Material,2.9,,07/01/2014,06/30/2015
NV,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.3,,07/01/2014,06/30/2015
NV,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.3,,07/01/2014,06/30/2015
NV,OP_8,MRI Lumbar Spine for Low Back Pain,38.2,,07/01/2014,06/30/2015
NV,OP_9,Mammography Follow-up Rates,8.4,,07/01/2014,06/30/2015
NY,OP_10,Abdomen CT Use of Contrast Material,6.3,,07/01/2014,06/30/2015
NY,OP_11,Thorax CT Use of Contrast Material,1.0,,07/01/2014,06/30/2015
NY,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.2,,07/01/2014,06/30/2015
NY,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,4.0,,07/01/2014,06/30/2015
NY,OP_8,MRI Lumbar Spine for Low Back Pain,38.1,,07/01/2014,06/30/2015
NY,OP_9,Mammography Follow-up Rates,16.1,,07/01/2014,06/30/2015
OH,OP_10,Abdomen CT Use of Contrast Material,5.6,,07/01/2014,06/30/2015
OH,OP_11,Thorax CT Use of Contrast Material,1.3,,07/01/2014,06/30/2015
OH,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.0,,07/01/2014,06/30/2015
OH,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.8,,07/01/2014,06/30/2015
OH,OP_8,MRI Lumbar Spine for Low Back Pain,37.3,,07/01/2014,06/30/2015
OH,OP_9,Mammography Follow-up Rates,8.7,,07/01/2014,06/30/2015
OK,OP_10,Abdomen CT Use of Contrast Material,16.0,,07/01/2014,06/30/2015
OK,OP_11,Thorax CT Use of Contrast Material,4.5,,07/01/2014,06/30/2015
OK,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.0,,07/01/2014,06/30/2015
OK,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.3,,07/01/2014,06/30/2015
OK,OP_8,MRI Lumbar Spine for Low Back Pain,42.2,,07/01/2014,06/30/2015
OK,OP_9,Mammography Follow-up Rates,8.7,,07/01/2014,06/30/2015
OR,OP_10,Abdomen CT Use of Contrast Material,6.3,,07/01/2014,06/30/2015
OR,OP_11,Thorax CT Use of Contrast Material,0.8,,07/01/2014,06/30/2015
OR,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.3,,07/01/2014,06/30/2015
OR,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.2,,07/01/2014,06/30/2015
OR,OP_8,MRI Lumbar Spine for Low Back Pain,44.4,,07/01/2014,06/30/2015
OR,OP_9,Mammography Follow-up Rates,8.3,,07/01/2014,06/30/2015
PA,OP_10,Abdomen CT Use of Contrast Material,9.6,,07/01/2014,06/30/2015
PA,OP_11,Thorax CT Use of Contrast Material,1.7,,07/01/2014,06/30/2015
PA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.3,,07/01/2014,06/30/2015
PA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.3,,07/01/2014,06/30/2015
PA,OP_8,MRI Lumbar Spine for Low Back Pain,36.7,,07/01/2014,06/30/2015
PA,OP_9,Mammography Follow-up Rates,9.0,,07/01/2014,06/30/2015
PR,OP_10,Abdomen CT Use of Contrast Material,9.0,,07/01/2014,06/30/2015
PR,OP_11,Thorax CT Use of Contrast Material,10.2,,07/01/2014,06/30/2015
PR,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.5,,07/01/2014,06/30/2015
PR,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.2,,07/01/2014,06/30/2015
PR,OP_8,MRI Lumbar Spine for Low Back Pain,48.4,,07/01/2014,06/30/2015
PR,OP_9,Mammography Follow-up Rates,50.9,,07/01/2014,06/30/2015
RI,OP_10,Abdomen CT Use of Contrast Material,4.6,,07/01/2014,06/30/2015
RI,OP_11,Thorax CT Use of Contrast Material,1.0,,07/01/2014,06/30/2015
RI,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.8,,07/01/2014,06/30/2015
RI,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,4.8,,07/01/2014,06/30/2015
RI,OP_8,MRI Lumbar Spine for Low Back Pain,37.4,,07/01/2014,06/30/2015
RI,OP_9,Mammography Follow-up Rates,9.6,,07/01/2014,06/30/2015
SC,OP_10,Abdomen CT Use of Contrast Material,7.7,,07/01/2014,06/30/2015
SC,OP_11,Thorax CT Use of Contrast Material,1.1,,07/01/2014,06/30/2015
SC,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.9,,07/01/2014,06/30/2015
SC,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.7,,07/01/2014,06/30/2015
SC,OP_8,MRI Lumbar Spine for Low Back Pain,40.7,,07/01/2014,06/30/2015
SC,OP_9,Mammography Follow-up Rates,7.7,,07/01/2014,06/30/2015
SD,OP_10,Abdomen CT Use of Contrast Material,6.5,,07/01/2014,06/30/2015
SD,OP_11,Thorax CT Use of Contrast Material,1.5,,07/01/2014,06/30/2015
SD,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.3,,07/01/2014,06/30/2015
SD,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.1,,07/01/2014,06/30/2015
SD,OP_8,MRI Lumbar Spine for Low Back Pain,36.1,,07/01/2014,06/30/2015
SD,OP_9,Mammography Follow-up Rates,8.7,,07/01/2014,06/30/2015
TN,OP_10,Abdomen CT Use of Contrast Material,6.7,,07/01/2014,06/30/2015
TN,OP_11,Thorax CT Use of Contrast Material,2.4,,07/01/2014,06/30/2015
TN,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.4,,07/01/2014,06/30/2015
TN,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.2,,07/01/2014,06/30/2015
TN,OP_8,MRI Lumbar Spine for Low Back Pain,38.6,,07/01/2014,06/30/2015
TN,OP_9,Mammography Follow-up Rates,7.9,,07/01/2014,06/30/2015
TX,OP_10,Abdomen CT Use of Contrast Material,12.4,,07/01/2014,06/30/2015
TX,OP_11,Thorax CT Use of Contrast Material,4.0,,07/01/2014,06/30/2015
TX,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.6,,07/01/2014,06/30/2015
TX,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.8,,07/01/2014,06/30/2015
TX,OP_8,MRI Lumbar Spine for Low Back Pain,43.3,,07/01/2014,06/30/2015
TX,OP_9,Mammography Follow-up Rates,7.8,,07/01/2014,06/30/2015
UT,OP_10,Abdomen CT Use of Contrast Material,4.3,,07/01/2014,06/30/2015
UT,OP_11,Thorax CT Use of Contrast Material,1.0,,07/01/2014,06/30/2015
UT,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.2,,07/01/2014,06/30/2015
UT,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.8,,07/01/2014,06/30/2015
UT,OP_8,MRI Lumbar Spine for Low Back Pain,47.5,,07/01/2014,06/30/2015
UT,OP_9,Mammography Follow-up Rates,8.0,,07/01/2014,06/30/2015
VA,OP_10,Abdomen CT Use of Contrast Material,6.7,,07/01/2014,06/30/2015
VA,OP_11,Thorax CT Use of Contrast Material,1.1,,07/01/2014,06/30/2015
VA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.2,,07/01/2014,06/30/2015
VA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.2,,07/01/2014,06/30/2015
VA,OP_8,MRI Lumbar Spine for Low Back Pain,37.2,,07/01/2014,06/30/2015
VA,OP_9,Mammography Follow-up Rates,7.3,,07/01/2014,06/30/2015
VI,OP_10,Abdomen CT Use of Contrast Material,2.8,,07/01/2014,06/30/2015
VI,OP_11,Thorax CT Use of Contrast Material,3.4,,07/01/2014,06/30/2015
VI,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,2.8,,07/01/2014,06/30/2015
VI,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.7,,07/01/2014,06/30/2015
VI,OP_8,MRI Lumbar Spine for Low Back Pain,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2015
VI,OP_9,Mammography Follow-up Rates,7.9,,07/01/2014,06/30/2015
VT,OP_10,Abdomen CT Use of Contrast Material,3.6,,07/01/2014,06/30/2015
VT,OP_11,Thorax CT Use of Contrast Material,0.5,,07/01/2014,06/30/2015
VT,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.2,,07/01/2014,06/30/2015
VT,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.1,,07/01/2014,06/30/2015
VT,OP_8,MRI Lumbar Spine for Low Back Pain,32.6,,07/01/2014,06/30/2015
VT,OP_9,Mammography Follow-up Rates,8.2,,07/01/2014,06/30/2015
WA,OP_10,Abdomen CT Use of Contrast Material,5.3,,07/01/2014,06/30/2015
WA,OP_11,Thorax CT Use of Contrast Material,0.8,,07/01/2014,06/30/2015
WA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.9,,07/01/2014,06/30/2015
WA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.5,,07/01/2014,06/30/2015
WA,OP_8,MRI Lumbar Spine for Low Back Pain,41.1,,07/01/2014,06/30/2015
WA,OP_9,Mammography Follow-up Rates,8.0,,07/01/2014,06/30/2015
WI,OP_10,Abdomen CT Use of Contrast Material,5.6,,07/01/2014,06/30/2015
WI,OP_11,Thorax CT Use of Contrast Material,0.7,,07/01/2014,06/30/2015
WI,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.1,,07/01/2014,06/30/2015
WI,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.3,,07/01/2014,06/30/2015
WI,OP_8,MRI Lumbar Spine for Low Back Pain,36.3,,07/01/2014,06/30/2015
WI,OP_9,Mammography Follow-up Rates,7.1,,07/01/2014,06/30/2015
WV,OP_10,Abdomen CT Use of Contrast Material,12.8,,07/01/2014,06/30/2015
WV,OP_11,Thorax CT Use of Contrast Material,3.0,,07/01/2014,06/30/2015
WV,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.8,,07/01/2014,06/30/2015
WV,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.9,,07/01/2014,06/30/2015
WV,OP_8,MRI Lumbar Spine for Low Back Pain,40.6,,07/01/2014,06/30/2015
WV,OP_9,Mammography Follow-up Rates,8.9,,07/01/2014,06/30/2015
WY,OP_10,Abdomen CT Use of Contrast Material,10.4,,07/01/2014,06/30/2015
WY,OP_11,Thorax CT Use of Contrast Material,4.4,,07/01/2014,06/30/2015
WY,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.2,,07/01/2014,06/30/2015
WY,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.4,,07/01/2014,06/30/2015
WY,OP_8,MRI Lumbar Spine for Low Back Pain,44.8,,07/01/2014,06/30/2015
WY,OP_9,Mammography Follow-up Rates,9.3,,07/01/2014,06/30/2015
